id,name,street-address,locality,region,postal-code,phone-number
0,Beyond Bread,6260 E Speedway Blvd,Tucson,AZ,85712,(520) 747-7477
1,Frogs Organic Bakery,7109 N Oracle Rd,Tucson,AZ,85704,(520) 229-2124
2,E & L Southwest Cakes,3928 S 6th Ave,Tucson,AZ,85714,(520) 746-1150
3,Nadines Bakery,4553 E Broadway Blvd,Tucson,AZ,85711,(520) 326-0735
4,La Baguette Bakery,1797 E Prince Rd,Tucson,AZ,85719,(520) 322-6297
5,La Baguette Parisienne,7851 E Broadway Blvd,Tucson,AZ,85710,(520) 296-1711
6,Norma's Cakery,2500 S 6th Ave,Tucson,AZ,85713,(520) 903-1407
7,Sweet Things Cupcake Shoppe,7475 N La Cholla Blvd Ste 414,Tucson,AZ,85741,(520) 742-2253
8,Le Bon Gateau,4695 N Oracle Rd Ste 105,Tucson,AZ,85705,(520) 624-4504
9,Sweet Tooshies Bakery,8963 E Tanque Verde Rd,Tucson,AZ,85749,(520) 777-3395
10,Enchanted Cakes & Cupcakes,10810 W Anthony Dr,Tucson,AZ,85743,(520) 392-4557
11,Cafe Jasper,6370 N Campbell Ave Ste 160,Tucson,AZ,85718,(520) 577-0326
12,Ghini's French Caffe,1803 E Prince Rd,Tucson,AZ,85719,(520) 326-9095
13,Donut Wheel,4524 W Ina Rd,Tucson,AZ,85741,(520) 744-2811
14,Donut Wheel,675 W Valencia Rd,Tucson,AZ,85706,(520) 294-5559
15,Dunkin' Donuts,9485 E Broadway Blvd,Tucson,AZ,85710,(520) 495-4805
16,La Palma Tortilla Factory & Bakery,3624 N Oracle Rd,Tucson,AZ,85705,(520) 293-6933
17,Le-Delice,7245 E Tanque Verde Rd,Tucson,AZ,85715,(520) 290-9714
18,Cafe 54,54 E Pennington St,Tucson,AZ,85701,(520) 622-1907
19,Just Desserts & Coffee House,250 S Craycroft Rd Ste 100,Tucson,AZ,85711,(520) 829-7000
20,Bakehouse Bread,2550 N Dragoon St Ste 120,Tucson,AZ,85745,(520) 792-6631
21,A J's,2805 E Skyline Dr,Tucson,AZ,85718,(520) 232-6340
22,Albertsons,7300 N La Cholla Blvd,Tucson,AZ,85741,(520) 575-0993
23,Mini's Cupcakes,7051 N Oracle Rd,Tucson,AZ,85704,(520) 299-2605
24,Tayna Restaurant & Bakery,2526 E 6th St,Tucson,AZ,85716,(520) 398-6606
25,Alvernon Donut Shop,1450 S Alvernon Way,Tucson,AZ,85711,(520) 326-3307
26,Meziab International,4500 E Speedway Blvd,Tucson,AZ,85712,(520) 207-8583
27,CakeLab,402 E 4th St Unit 3,Tucson,AZ,85705,(530) 303-8313
28,Perkins Restaurant & Bakery,4775 E Grant Rd,Tucson,AZ,85712,(520) 322-6398
29,Prep & Pastry,3073 N Campbell Ave,Tucson,AZ,85719,(520) 326-7737
30,Donut King,150 W Grant Rd,Tucson,AZ,85705,(520) 623-7260
31,La Estrella Bakery Inc,100 S Avenida Del Convento,Tucson,AZ,85745,(520) 344-8463
32,Cakes By Clara,3419 N 1st Ave,Tucson,AZ,85719,(520) 292-8567
33,Donut Wheel,4801 S Campbell Ave,Tucson,AZ,85714,(520) 889-2238
34,Fresh,2404 E River Rd Ste Ste 132,Tucson,AZ,85718,(520) 505-4470
35,Donut Wheel,2630 S Kolb Rd,Tucson,AZ,85730,(520) 748-8129
36,Market Basket,5242 S 12th Ave,Tucson,AZ,85706,(520) 294-1891
37,Red Velvet,2905 E Skyline Dr,Tucson,AZ,85718,(520) 395-1373
38,Ambrosia Of Tucson,7051 N Oracle Rd,Tucson,AZ,85704,(520) 390-9319
39,Queen Donuts,5975 W Western Way Cir,Tucson,AZ,85713,(520) 908-3280
40,Bunz In The Oven Bakery,6781 N Thornydale Rd Ste 229,Tucson,AZ,85741,(520) 531-1011
41,Kaity Kakes,10547 E Marchetti Loop,Tucson,AZ,85747,(520) 780-2072
42,Cookie Wagon,6910 N Camino Martin,Tucson,AZ,85741,(520) 742-7626
43,Breadsmith,10355 N La Canada Dr,Tucson,AZ,85737,(520) 219-7985
44,Walmart - Bakery,8280 N Cortaro Rd,Tucson,AZ,85743,(520) 744-6012
45,Cinnabon,5570 E Travel Plaza Way,Tucson,AZ,85756,(520) 663-3348
46,Grass Roots,NA,Tucson,AZ,85703,(520) 623-7240
47,Sugar Sweet Bakery,NA,Tucson,AZ,85701,(520) 881-1138
48,La Estrella Bakery,5266 S 12th Ave,Tucson,AZ,85706,(520) 741-0656
49,Viro's Real Italian Bakery,8301 E 22nd St,Tucson,AZ,85710,(520) 885-4045
